"Harmonic_order","tau_so","SlotPitchRatio","FluxLinkage(Winding)"
1,0.02,0.5,0.280443029656427
1,0.02,0.520408163265306,0.277850535163347
1,0.02,0.540816326530612,0.27519247295138
1,0.02,0.561224489795918,0.272451008962328
1,0.02,0.581632653061224,0.269628217044545
1,0.02,0.602040816326531,0.266726008385639
1,0.02,0.622448979591837,0.263746314047209
1,0.02,0.642857142857143,0.260690907063888
1,0.02,0.663265306122449,0.257574239346971
1,0.02,0.683673469387755,0.254360497623578
1,0.02,0.704081632653061,0.251090249926644
1,0.02,0.724489795918367,0.247752559013248
1,0.02,0.744897959183674,0.244349864165261
1,0.02,0.76530612244898,0.240884141855613
1,0.02,0.785714285714286,0.237357992476544
1,0.02,0.806122448979592,0.233773143184171
1,0.02,0.826530612244898,0.230147052855564
1,0.02,0.846938775510204,0.226438538191156
1,0.02,0.86734693877551,0.222689224096923
1,0.02,0.887755102040816,0.218892146004487
1,0.02,0.908163265306122,0.215047355886791
1,0.02,0.928571428571429,0.21115726504792
1,0.02,0.948979591836735,0.207223927814823
1,0.02,0.969387755102041,0.203249567426297
1,0.02,0.989795918367347,0.199246470630393
1,0.02,1.01020408163265,0.195223763527216
1,0.02,1.03061224489796,0.191150138948167
1,0.02,1.05102040816327,0.187039379583816
1,0.02,1.07142857142857,0.182890131613121
1,0.02,1.09183673469388,0.178708538365546
1,0.02,1.11224489795918,0.174499270085788
1,0.02,1.13265306122449,0.170266296007055
1,0.02,1.1530612244898,0.166019374224006
1,0.02,1.1734693877551,0.161755571847943
1,0.02,1.19387755102041,0.157458063313965
1,0.02,1.21428571428571,0.153160023937101
1,0.02,1.23469387755102,0.14885029675483
1,0.02,1.25510204081633,0.144530318589757
1,0.02,1.27551020408163,0.140201216711494
1,0.02,1.29591836734694,0.135864573607764
1,0.02,1.31632653061224,0.131522387792171
1,0.02,1.33673469387755,0.127181754209428
1,0.02,1.35714285714286,0.122830980153218
1,0.02,1.37755102040816,0.118487911665001
1,0.02,1.39795918367347,0.114151308048143
1,0.02,1.41836734693878,0.109824586248566
1,0.02,1.43877551020408,0.10551182086654
1,0.02,1.45918367346939,0.101215744699021
1,0.02,1.47959183673469,0.0969391409476604
1,0.02,1.5,0.0926809038086862
1,0.0257142857142857,0.5,0.280782956300679
1,0.0257142857142857,0.520408163265306,0.278215464394907
1,0.0257142857142857,0.540816326530612,0.275564571889764
1,0.0257142857142857,0.561224489795918,0.272829144782065
1,0.0257142857142857,0.581632653061224,0.270012142340138
1,0.0257142857142857,0.602040816326531,0.267115058560722
1,0.0257142857142857,0.622448979591837,0.264140659025493
1,0.0257142857142857,0.642857142857143,0.26108956815265
1,0.0257142857142857,0.663265306122449,0.257979553406315
1,0.0257142857142857,0.683673469387755,0.254766791249872
1,0.0257142857142857,0.704081632653061,0.251499726091937
1,0.0257142857142857,0.724489795918367,0.248164269818098
1,0.0257142857142857,0.744897959183674,0.244763315616553
1,0.0257142857142857,0.76530612244898,0.241298506146714
1,0.0257142857142857,0.785714285714286,0.23777198782648
1,0.0257142857142857,0.806122448979592,0.234187141087475
1,0.0257142857142857,0.826530612244898,0.230549462441435
1,0.0257142857142857,0.846938775510204,0.226848090391931
1,0.0257142857142857,0.86734693877551,0.223098349609529
1,0.0257142857142857,0.887755102040816,0.219298222556015
1,0.0257142857142857,0.908163265306122,0.215449695770776
1,0.0257142857142857,0.928571428571429,0.211555393158024
1,0.0257142857142857,0.948979591836735,0.207617018062536
1,0.0257142857142857,0.969387755102041,0.203637148382353
1,0.0257142857142857,0.989795918367347,0.19962276213133
1,0.0257142857142857,1.01020408163265,0.195583141095775
1,0.0257142857142857,1.03061224489796,0.191509642016507
1,0.0257142857142857,1.05102040816327,0.187390719432624
1,0.0257142857142857,1.07142857142857,0.183234252159776
1,0.0257142857142857,1.09183673469388,0.179045620030625
1,0.0257142857142857,1.11224489795918,0.174829267242967
1,0.0257142857142857,1.13265306122449,0.170589201266134
1,0.0257142857142857,1.1530612244898,0.166330853626243
1,0.0257142857142857,1.1734693877551,0.162047409722089
1,0.0257142857142857,1.19387755102041,0.157757066095019
1,0.0257142857142857,1.21428571428571,0.153449907277845
1,0.0257142857142857,1.23469387755102,0.149131060728413
1,0.0257142857142857,1.25510204081633,0.144802188849044
1,0.0257142857142857,1.27551020408163,0.140464656205672
1,0.0257142857142857,1.29591836734694,0.136119375500045
1,0.0257142857142857,1.31632653061224,0.13176936082467
1,0.0257142857142857,1.33673469387755,0.127421603049907
1,0.0257142857142857,1.35714285714286,0.123063751262408
1,0.0257142857142857,1.37755102040816,0.118714172105881
1,0.0257142857142857,1.39795918367347,0.11437081758235
1,0.0257142857142857,1.41836734693878,0.11003758868168
1,0.0257142857142857,1.43877551020408,0.105718195696976
1,0.0257142857142857,1.45918367346939,0.101414013362643
1,0.0257142857142857,1.47959183673469,0.0971293752780321
1,0.0257142857142857,1.5,0.0928708998351369
1,0.0314285714285714,0.5,0.281019520028969
1,0.0314285714285714,0.520408163265306,0.278447102232023
1,0.0314285714285714,0.540816326530612,0.27579955464211
1,0.0314285714285714,0.561224489795918,0.273067397876808
1,0.0314285714285714,0.581632653061224,0.270254026644431
1,0.0314285714285714,0.602040816326531,0.267359734840325
1,0.0314285714285714,0.622448979591837,0.264387427516901
1,0.0314285714285714,0.642857142857143,0.261338888538117
1,0.0314285714285714,0.663265306122449,0.258220525740166
1,0.0314285714285714,0.683673469387755,0.255019372109335
1,0.0314285714285714,0.704081632653061,0.251753149849161
